username,repo_name,stars,repo_url
amphp,amp,3500,https://github.com/amphp/amp
danog,MadelineProto,1800,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,684,https://github.com/unreal4u/telegram-api
amphp,http-client,590,https://github.com/amphp/http-client
amphp,parallel,538,https://github.com/amphp/parallel
php-service-bus,service-bus,312,https://github.com/php-service-bus/service-bus
amphp,byte-stream,262,https://github.com/amphp/byte-stream
amphp,mysql,258,https://github.com/amphp/mysql
amphp,parallel-functions,202,https://github.com/amphp/parallel-functions
amphp,process,151,https://github.com/amphp/process
amphp,socket,143,https://github.com/amphp/socket
amphp,redis,119,https://github.com/amphp/redis
kelunik,acme,106,https://github.com/kelunik/acme
amphp,dns,104,https://github.com/amphp/dns
amphp,websocket-client,94,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,sync,90,https://github.com/amphp/sync
amphp,websocket-server,69,https://github.com/amphp/websocket-server
jolicode,asynit,68,https://github.com/jolicode/asynit
amphp,file,61,https://github.com/amphp/file
amphp,cache,59,https://github.com/amphp/cache
amphp,postgres,59,https://github.com/amphp/postgres
amphp,serialization,57,https://github.com/amphp/serialization
amphp,beanstalk,55,https://github.com/amphp/beanstalk
amphp,windows-registry,55,https://github.com/amphp/windows-registry
amphp,hpack,53,https://github.com/amphp/hpack
phpinnacle,ridge,44,https://github.com/phpinnacle/ridge
amphp,aerys,42,https://github.com/amphp/aerys
amphp,cluster,40,https://github.com/amphp/cluster
